book,card_id,grade,original,translation,chapter
이방인,AE-L01,Legendary,"Aujourd'hui, maman est morte. Ou peut-être hier, je ne sais pas.","오늘, 엄마가 죽었다. 아니면 어제였는지도 모르겠다.",1부 1장
이방인,AE-E01,Epic,"Devant cette nuit chargée de signes et d'étoiles, je m'ouvrais pour la première fois à la tendre indifférence du monde.","별과 징조로 가득한 그 밤 앞에서, 나는 처음으로 세상의 부드러운 무관심에 마음을 열었다.",2부 5장
이방인,AE-E02,Epic,"De l'éprouver si pareil à moi, si fraternel enfin, j'ai senti que j'avais été heureux, et que je l'étais encore.","세상이 나와 이토록 닮았다는 것을, 이토록 형제 같다는 것을 느끼며 — 나는 행복했고, 지금도 행복하다.",2부 5장
이방인,AE-E03,Epic,"J'avais eu raison, j'avais encore raison, j'avais toujours raison.","나는 옳았고, 지금도 옳으며, 항상 옳았다.",2부 5장
이방인,AE-E04,Epic,"J'ai dit rapidement, en mêlant un peu les mots et en me rendant compte de mon ridicule, que c'était à cause du soleil.","말을 약간 뒤섞으며, 스스로도 우스운 줄 알면서 빠르게 말했다 — 태양 때문이라고.",2부 3장
이방인,AE-R01,Rare,"J'ai répondu qu'on ne changeait jamais de vie, qu'en tout cas toutes se valaient et que la mienne ici ne me déplaisait pas du tout.","삶이란 바꿀 수 없는 것이고, 어차피 다 마찬가지며, 지금 이 삶도 나쁘지 않다고 했다.",1부 5장
이방인,AE-R02,Rare,"Un moment après, elle m'a demandé si je l'aimais. Je lui ai répondu que cela ne voulait rien dire, mais qu'il me semblait que non.","잠시 후 그녀가 사랑하냐고 물었다. 그런 말은 별 의미가 없지만, 아마 아닐 것 같다고 답했다.",1부 4장
이방인,AE-R03,Rare,Il m'a demandé encore si je voulais être son copain. J'ai dit que ça m'était égal : il a eu l'air content.,친구가 되어줄 수 있냐고 물었다. 상관없다고 했다. 그는 기뻐 보였다.,1부 3장
이방인,AE-R04,Rare,"De toute façon, on est toujours un peu fautif.","어차피, 우리는 누구나 조금씩은 잘못이 있다.",1부 3장
이방인,AE-R05,Rare,"Il se mit à parler de mon âme. Il disait qu'il s'était penché sur elle et qu'il n'avait rien trouvé, messieurs les jurés.","검사가 내 영혼에 대해 말했다. 들여다봤지만 아무것도 없었다고, 배심원 여러분.",2부 4장
이방인,AE-R06,Rare,"J'avais tout le ciel dans les yeux et il était bleu et doré. Sous ma nuque, je sentais le ventre de Marie battre doucement.","눈에는 온통 하늘이 가득했고, 파랗고 금빛이었다. 목덜미 아래로 마리의 배가 부드럽게 뛰는 게 느껴졌다.",1부 2장
이방인,AE-R07,Rare,Le soleil était maintenant écrasant. Il se brisait en morceaux sur le sable et sur la mer.,태양이 이제 짓누르듯 뜨거웠다. 모래와 바다 위로 산산이 부서졌다.,1부 6장
이방인,AE-R08,Rare,J'ai compris alors qu'un homme qui n'aurait vécu qu'un seul jour pourrait sans peine vivre cent ans dans une prison.,하루밖에 살지 않은 사람도 감옥에서 백 년을 거뜬히 살 수 있다는 걸 깨달았다.,2부 2장
이방인,AE-R09,Rare,"Pour la première fois depuis bien des années, j'ai eu une envie stupide de pleurer parce que j'ai senti combien j'étais détesté par tous ces gens-là.","오랜만에 처음으로, 울고 싶다는 어리석은 충동이 생겼다. 그 모든 사람들에게 얼마나 미움받고 있는지 느꼈기 때문에.",2부 3장
이방인,AE-R10,Rare,"J'ai pensé que c'était toujours un dimanche de tiré, que maman était maintenant enterrée, que j'allais reprendre mon travail et que, somme toute, il n'y avait rien de changé.","또 하나의 일요일이 지났고, 엄마는 이제 땅에 묻혔고, 내일은 다시 출근할 것이고, 결국 달라진 건 아무것도 없다고 생각했다.",1부 1장
이방인,AE-C01,Common,J'ai demandé deux jours de congé à mon patron et il ne pouvait pas me les refuser avec une excuse pareille.,사장에게 이틀 휴가를 달라고 했다. 이런 이유면 거절할 수 없을 터였다.,1부 1장
이방인,AE-C02,Common,Ce n'est pas de ma faute.,내 잘못이 아니다.,1부 1장
이방인,AE-C03,Common,J'ai couru pour ne pas manquer le départ.,출발을 놓치지 않으려고 뛰었다.,1부 1장
이방인,AE-C04,Common,Il faisait très chaud.,날이 매우 더웠다.,1부 1장
이방인,AE-C05,Common,Ils ont l'air de la même race et pourtant ils se détestent.,그들은 같은 종족처럼 보이지만 서로를 증오한다.,1부 3장
이방인,AE-C06,Common,J'avais laissé ma fenêtre ouverte et c'était bon de sentir la nuit d'été couler sur nos corps bruns.,"창문을 열어두었고, 여름밤이 우리의 갈색 몸 위로 흐르는 게 좋았다.",1부 4장
이방인,AE-C07,Common,"Hier, c'était samedi et Marie est venue, comme nous en étions convenus.","어제는 토요일이었고, 약속대로 마리가 왔다.",1부 4장
이방인,AE-C08,Common,"Il n'avait pas été heureux avec sa femme, mais dans l'ensemble, il s'était bien habitué à elle.","아내와 행복하지 않았지만, 전체적으로 그녀에게 잘 적응했다.",1부 5장
이방인,AE-C09,Common,"D'ailleurs, il y avait longtemps qu'elle n'avait rien à me dire.",어차피 그녀는 오래전부터 나에게 할 말이 없었다.,1부 5장
